學號,系所名稱,年級班別,組別,學期-班一般名次,學期-班一般人數,學期-平均成績,學期-鎖定排名,學期-系一般名次,學期-系一般人數,學期-組一般名次,學期-組一般人數,學期-成績是否全到,學期-班名次,學期-班人數,學期-系名次,學期-系人數,學期-組名次,學期-組人數,學年學期,累計-班一般名次,累計-班一般人數,累計-平均成績,累計-鎖定排名,累計-系一般名次,累計-系一般人數,累計-組一般名次,累計-組一般人數,累計-成績是否全到,累計-班名次,累計-班人數,累計-系名次,累計-系人數,累計-組名次,累計-組人數
c8718d3aa1a43a0d07140ab249cae525e5fbe5090e5b8689d42259a4f83e987c,化學學系碩士班,1年級,,"18 ","59 ",86.56,全班成績已到鎖定排名,"18 ","59 ",,,成績全到,"18 ","59 ","18 ","59 ",,,1022,"9  ","59 ",86.80,全班成績已到鎖定排名,"9  ","59 ",,,成績全到,"9  ","59 ","9  ","59 ",,
23eebb111a0089da54b60071bbd005ed486a65300ef2057cfa008a019a49f759,【舊代碼】生命科學系碩士班,2年級,,"13 ","21 ",89.00,全班成績已到鎖定排名,"13 ","21 ",,,成績全到,"13 ","21 ","13 ","21 ",,,1022,"2  ","21 ",90.12,全班成績已到鎖定排名,"2  ","21 ",,,成績全到,"2  ","21 ","2  ","21 ",,
d8c808adb270e8831bab3a2d0271fb27183a6f4f04f33f944dc65df8e994d96e,資訊工程學系博士班,1年級,,"3  ","13 ",92.50,全班成績已到鎖定排名,"3  ","13 ",,,成績全到,"3  ","13 ","3  ","13 ",,,1022,"1  ","13 ",91.50,全班成績已到鎖定排名,"1  ","13 ",,,成績全到,"1  ","13 ","1  ","13 ",,
69ab2f7343e867f46b361c19ad4966a9fe82138a8a9f600c12aa9a47229a86e7,化學學系碩士班,1年級,,"48 ","59 ",78.30,全班成績已到鎖定排名,"48 ","59 ",,,成績全到,"48 ","59 ","48 ","59 ",,,1022,"42 ","59 ",80.35,全班成績已到鎖定排名,"42 ","59 ",,,成績全到,"42 ","59 ","42 ","59 ",,
5435d7d0e5f3439cf57823f9990ea4850e1d1cc672db1503ff3e3639b25a75ac,化學學系碩士班,1年級,,"5  ","59 ",91.63,全班成績已到鎖定排名,"5  ","59 ",,,成績全到,"5  ","59 ","5  ","59 ",,,1022,"27 ","59 ",82.30,全班成績已到鎖定排名,"27 ","59 ",,,成績全到,"27 ","59 ","27 ","59 ",,
0a3546ef6b3aee765c6fef37814a3d4744049a4c9a70661adfbb143342617fdb,化學學系碩士班,1年級,,"14 ","59 ",88.86,全班成績已到鎖定排名,"14 ","59 ",,,成績全到,"14 ","59 ","14 ","59 ",,,1022,"35 ","59 ",81.20,全班成績已到鎖定排名,"35 ","59 ",,,成績全到,"35 ","59 ","35 ","59 ",,
649c1a47d69c6858c07365beca516f986494379603ce80f014592fc7fabe4e34,材料科學與工程研究所碩士班,1年級,,"17 ","21 ",82.67,全班成績已到鎖定排名,"17 ","21 ",,,成績全到,"17 ","21 ","17 ","21 ",,,1022,"17 ","21 ",83.25,全班成績已到鎖定排名,"17 ","21 ",,,成績全到,"17 ","21 ","17 ","21 ",,
28404964358b86adb89b1b3bfa35c7c75cb6fa9c149a330901bd59ecddf89216,物理學系生物物理碩士班,1年級,,"1  ","6  ",89.78,全班成績已到鎖定排名,"1  ","6  ",,,成績全到,"1  ","6  ","1  ","6  ",,,1022,"1  ","6  ",90.48,全班成績已到鎖定排名,"1  ","6  ",,,成績全到,"1  ","6  ","1  ","6  ",,
0c6c72b94996c9c79870aa7ca1665be5b791276700a9b70a980f0f893ea0a80e,英美語文學系,1年級,,"53 ","60 ",75.95,全班成績已到鎖定排名,"53 ","60 ",,,成績全到,"53 ","60 ","53 ","60 ",,,1022,"52 ","60 ",78.17,全班成績已到鎖定排名,"52 ","60 ",,,成績全到,"52 ","60 ","52 ","60 ",,
764d0c59f2c930a77663a474572878808f9f659b3ac1653fcb3a138e3045d811,機械工程學系,1年級3班,設計與分析組,,,85.25,全班成績已到鎖定排名,,,,,成績全到,,,,,,,1022,,,85.25,全班成績已到鎖定排名,,,,,成績全到,,,,,,
