學號,系所名稱,年級班別,組別,學期-班一般名次,學期-班一般人數,學期-平均成績,學期-鎖定排名,學期-系一般名次,學期-系一般人數,學期-組一般名次,學期-組一般人數,學期-成績是否全到,學期-班名次,學期-班人數,學期-系名次,學期-系人數,學期-組名次,學期-組人數,學年學期,累計-班一般名次,累計-班一般人數,累計-平均成績,累計-鎖定排名,累計-系一般名次,累計-系一般人數,累計-組一般名次,累計-組一般人數,累計-成績是否全到,累計-班名次,累計-班人數,累計-系名次,累計-系人數,累計-組名次,累計-組人數
880aa9b0250cce7b6ffe9a6d4d45e7b1304df77e6110a837e463b30c56698001,物理學系生物物理碩士班,3年級,,"1  ","4  ",5.00,全班成績已到鎖定排名,"1  ","4  ",,,成績全到,"1  ","4  ","1  ","4  ",,,1051,"4  ","4  ",60.67,全班成績已到鎖定排名,"4  ","4  ",,,成績全到,"4  ","4  ","4  ","4  ",,
c0e53f095bf3cf0dc528c772d4c3275e53eda935e6d989c0b3abac3ac81c26c7,英美語文學系,4年級,,"25 ","67 ",85.75,全班成績已到鎖定排名,"25 ","67 ",,,成績全到,"25 ","66 ","25 ","66 ",,,1051,"26 ","67 ",85.72,全班成績已到鎖定排名,"26 ","67 ",,,成績全到,"26 ","66 ","26 ","66 ",,
00efedc22d256c5a25c1ab40bcfed26feaffeff9e654f5184cb8f00096e33242,化學工程與材料工程學系,4年級,,"32 ","56 ",79.89,全班成績已到鎖定排名,"32 ","56 ",,,成績全到,"31 ","53 ","31 ","53 ",,,1051,"10 ","56 ",81.89,全班成績已到鎖定排名,"10 ","56 ",,,成績全到,"9  ","53 ","9  ","53 ",,
14f6c4165c8271da22aa3fc78d8ba4e81a5396e7f0addb82d8c97e2c6a6468d7,英美語文學系,4年級,,"54 ","67 ",72.33,全班成績已到鎖定排名,"54 ","67 ",,,成績全到,"53 ","66 ","53 ","66 ",,,1051,"32 ","67 ",84.80,全班成績已到鎖定排名,"32 ","67 ",,,成績全到,"32 ","66 ","32 ","66 ",,
7b5b2e08e299698f04ea503dda14acfb6f64e73d0ceb874a1e9c6ee0122a6d71,機械工程學系,4年級1班,光機電工程組,"1  ","54 ",95.00,全班成績已到鎖定排名,"1  ",163,"1  ","54 ",成績全到,,,,,,,1051,"13 ","54 ",79.58,全班成績已到鎖定排名,"33 ",163,"13 ","54 ",成績全到,,,,,,
3ee7f98b4413298a79d55cc804116271f937274bb22714fd10ac268c074a010b,中國文學系,3年級,,"11 ","46 ",86.95,全班成績已到鎖定排名,"11 ","46 ",,,成績全到,"10 ","44 ","10 ","44 ",,,1051,"8  ","46 ",84.78,全班成績已到鎖定排名,"8  ","46 ",,,成績全到,"7  ","44 ","7  ","44 ",,
04bf444fb54914c11b117a19b87478e51b19625f6f50eea20cd7a145c8acb767,中國文學系,3年級,,"2  ","46 ",91.35,全班成績已到鎖定排名,"2  ","46 ",,,成績全到,"2  ","44 ","2  ","44 ",,,1051,"10 ","46 ",84.27,全班成績已到鎖定排名,"10 ","46 ",,,成績全到,"9  ","44 ","9  ","44 ",,
54516790783a7e9630f7f3771e368e33a0cc961cc7dbd54fe24b195cbb81f8cc,化學工程與材料工程學系,4年級,,"14 ","56 ",83.33,全班成績已到鎖定排名,"14 ","56 ",,,成績全到,"14 ","53 ","14 ","53 ",,,1051,"9  ","56 ",81.94,全班成績已到鎖定排名,"9  ","56 ",,,成績全到,"8  ","53 ","8  ","53 ",,
33e2b666210e96cc792a2cfd956579f6dfd69a4105c2cb81a5ba8076d58cf76e,化學工程與材料工程學系,4年級,,"1  ","56 ",89.50,全班成績已到鎖定排名,"1  ","56 ",,,成績全到,"1  ","53 ","1  ","53 ",,,1051,"2  ","56 ",88.86,全班成績已到鎖定排名,"2  ","56 ",,,成績全到,"2  ","53 ","2  ","53 ",,
f0803052938150a294a87e656c57ec6c3ce9f23cb2e280f63227e7bd573ac29f,化學工程與材料工程學系,4年級,,"41 ","56 ",76.15,全班成績已到鎖定排名,"41 ","56 ",,,成績全到,"39 ","53 ","39 ","53 ",,,1051,"35 ","56 ",73.21,全班成績已到鎖定排名,"35 ","56 ",,,成績全到,"34 ","53 ","34 ","53 ",,
