學號,系所名稱,年級班別,組別,學期-班一般名次,學期-班一般人數,學期-平均成績,學期-鎖定排名,學期-系一般名次,學期-系一般人數,學期-組一般名次,學期-組一般人數,學期-成績是否全到,學期-班名次,學期-班人數,學期-系名次,學期-系人數,學期-組名次,學期-組人數,學年學期,累計-班一般名次,累計-班一般人數,累計-平均成績,累計-鎖定排名,累計-系一般名次,累計-系一般人數,累計-組一般名次,累計-組一般人數,累計-成績是否全到,累計-班名次,累計-班人數,累計-系名次,累計-系人數,累計-組名次,累計-組人數
93dc124857dace41299ee0e47b1da101a5d2a37bc67b44bca2be828b8e24e848,化學學系碩士班,2年級,,"56 ","57 ",76.60,全班成績已到鎖定排名,"56 ","57 ",,,成績全到,"56 ","57 ","56 ","57 ",,,1031,"43 ","57 ",80.72,全班成績已到鎖定排名,"43 ","57 ",,,成績全到,"43 ","57 ","43 ","57 ",,
d92c39e98f94789de08d24ddc329fb1cd68bbec5f8e74a4dcdcad16cc429b8d8,學習與教學研究所碩士班,3年級,,"1  ","6  ",98.00,全班成績已到鎖定排名,"1  ","6  ",,,成績全到,"1  ","6  ","1  ","6  ",,,1031,"1  ","6  ",92.63,全班成績已到鎖定排名,"1  ","6  ",,,成績全到,"1  ","6  ","1  ","6  ",,
d69b3af8575781f54790664ff59ddd63f1c0975a65bba76a57ac032117c3c1de,化學學系碩士班,2年級,,"10 ","57 ",90.00,全班成績已到鎖定排名,"10 ","57 ",,,成績全到,"10 ","57 ","10 ","57 ",,,1031,"10 ","57 ",86.00,全班成績已到鎖定排名,"10 ","57 ",,,成績全到,"10 ","57 ","10 ","57 ",,
68e9d2e17a4a642ffa8a981b8f858cbe0c8e3ec3f3eda4b9be8fbaea79ba5322,電機工程學系碩士班,3年級,,"2  ","40 ",0,全班成績已到鎖定排名,"2  ","40 ",,,成績全到,"2  ","40 ","2  ","40 ",,,1031,"28 ","40 ",80.25,全班成績已到鎖定排名,"28 ","40 ",,,成績全到,"28 ","40 ","28 ","40 ",,
624ed34d306e33720ff25dde30e2965c3120e7a11826f790d6ccfd500cc262fa,【舊代碼】生物醫學工程研究所碩士班,3年級,,"0  ","8  ",0,全班成績已到鎖定排名,"0  ","8  ",,,成績全到,"0  ","8  ","0  ","8  ",,,1031,"8  ","8  ",70.50,全班成績已到鎖定排名,"8  ","8  ",,,成績全到,"8  ","8  ","8  ","8  ",,
12d9cb25ecc0326dd490c175a0e2937cc739a78bc68a6b1375cef75b24ae370e,物理學系生物物理碩士班,2年級,,"5  ","8  ",78.71,全班成績已到鎖定排名,"5  ","8  ",,,成績全到,"5  ","8  ","5  ","8  ",,,1031,"7  ","8  ",74.77,全班成績已到鎖定排名,"7  ","8  ",,,成績全到,"7  ","8  ","7  ","8  ",,
8978a2b46cdad3c96eb525d6c5f1fbc3dbe7bc8d59b6e2b381a1315000d0cb06,英美語文學系,2年級,,"12 ","57 ",88.42,全班成績已到鎖定排名,"12 ","57 ",,,成績全到,"12 ","57 ","12 ","57 ",,,1031,"12 ","57 ",86.90,全班成績已到鎖定排名,"12 ","57 ",,,成績全到,"12 ","57 ","12 ","57 ",,
cba919e5454aef4f73fbf21f58311c62ef3db5bceb6f5a2c484cda453f9347e8,化學工程與材料工程學系,2年級,,"42 ","52 ",65.18,全班成績已到鎖定排名,"42 ","52 ",,,成績全到,"40 ","49 ","40 ","49 ",,,1031,"36 ","52 ",73.37,全班成績已到鎖定排名,"36 ","52 ",,,成績全到,"34 ","49 ","34 ","49 ",,
105a74929f9f926c5c0cfc0ab311dff1774f1da1810467d1a9bc2d52008a929b,機械工程學系,3年級2班,先進材料與精密製造組,"5  ","48 ",79.74,全班成績已到鎖定排名,"36 ",145,"5  ","48 ",成績全到,,,,,,,1031,"5  ","48 ",79.81,全班成績已到鎖定排名,"28 ",145,"5  ","48 ",成績全到,,,,,,
b04a69455a10ef713a1a900f5eeb94121dba81cd308e03f4d319e0bfe05cc19b,經濟學系,3年級,,"26 ","72 ",81.96,全班成績已到鎖定排名,"26 ","72 ",,,成績全到,"25 ","67 ","25 ","67 ",,,1031,"41 ","72 ",75.95,全班成績已到鎖定排名,"41 ","72 ",,,成績全到,"37 ","67 ","37 ","67 ",,
