學號,系所名稱,年級班別,組別,學期-班一般名次,學期-班一般人數,學期-平均成績,學期-鎖定排名,學期-系一般名次,學期-系一般人數,學期-組一般名次,學期-組一般人數,學期-成績是否全到,學期-班名次,學期-班人數,學期-系名次,學期-系人數,學期-組名次,學期-組人數,學年學期,累計-班一般名次,累計-班一般人數,累計-平均成績,累計-鎖定排名,累計-系一般名次,累計-系一般人數,累計-組一般名次,累計-組一般人數,累計-成績是否全到,累計-班名次,累計-班人數,累計-系名次,累計-系人數,累計-組名次,累計-組人數
7a27e25d160edcd06ce55ab371f84474873b2f0c2c6a2465e6c15bf6aa38229c,機械工程學系碩士在職專班,4年級,,"0  ","7  ",0,全班成績已到鎖定排名,"0  ","7  ",,,成績全到,"0  ","7  ","0  ","7  ",,,1072,"1  ","7  ",87.19,全班成績已到鎖定排名,"1  ","7  ",,,成績全到,"1  ","7  ","1  ","7  ",,
0e7dbfe5a48c7ecfd7d0c26dbb5f728c22daa4ff69f8460ccb258bb846f3999b,天文研究所博士班,4年級,,"1  ","3  ",90.00,全班成績已到鎖定排名,"1  ","3  ",,,成績全到,"1  ","3  ","1  ","3  ",,,1072,"2  ","3  ",81.30,全班成績已到鎖定排名,"2  ","3  ",,,成績全到,"2  ","3  ","2  ","3  ",,
c36ef19b4afd0b8ff5eaaebe0846fbd54fee6dea1b1d17b6942cb120fba58b8d,機械工程學系碩士在職專班,5年級,,"0  ","7  ",0,全班成績已到鎖定排名,"0  ","7  ",,,成績全到,"0  ","7  ","0  ","7  ",,,1072,"3  ","7  ",88.36,全班成績已到鎖定排名,"3  ","7  ",,,成績全到,"3  ","7  ","3  ","7  ",,
10a03260633ae61acef0cdcb2f5d8f65012b9114517de643f8198836713492a6,機械工程學系碩士在職專班,4年級,,"0  ","7  ",0,全班成績已到鎖定排名,"0  ","7  ",,,成績全到,"0  ","7  ","0  ","7  ",,,1072,"2  ","7  ",85.89,全班成績已到鎖定排名,"2  ","7  ",,,成績全到,"2  ","7  ","2  ","7  ",,
d59d9bbce61e08909888e02ee5c860a8364e6db0a6b5607a2550e002aba903b3,哲學研究所碩士在職專班,5年級,,"0  ","2  ",0,全班成績已到鎖定排名,"0  ","2  ",,,成績全到,"0  ","2  ","0  ","2  ",,,1072,"2  ","2  ",83.11,全班成績已到鎖定排名,"2  ","2  ",,,成績全到,"2  ","2  ","2  ","2  ",,
ff0d48cd00ccaa2544f6e1642ba0c4829bc12f440aeddb2742e79dba9023da4e,環境工程研究所碩士在職專班,5年級,,"0  ","7  ",0,全班成績已到鎖定排名,"0  ","7  ",,,成績全到,"0  ","7  ","0  ","7  ",,,1072,"7  ","7  ",81.23,全班成績已到鎖定排名,"7  ","7  ",,,成績全到,"7  ","7  ","7  ","7  ",,
fd0dfbea1774e436ef805d5d9e489acd25825fed1f29821665136186e111d6a9,歷史研究所碩士班,4年級,,"0  ","6  ",0,全班成績已到鎖定排名,"0  ","6  ",,,成績全到,"0  ","6  ","0  ","6  ",,,1072,"3  ","6  ",85.75,全班成績已到鎖定排名,"3  ","6  ",,,成績全到,"3  ","6  ","3  ","6  ",,
52b9c8322edbaf5fa5bf1721d2f2daeb63ce38a597bc74b8ecdb988b9b43c39c,通訊工程學系,4年級,,"49 ","57 ",63.00,全班成績已到鎖定排名,"49 ","57 ",,,成績全到,,,,,,,1072,"55 ","57 ",63.07,全班成績已到鎖定排名,"55 ","57 ",,,成績全到,,,,,,
5d14b47372a6f652442299f32bf5ed1a1de4bfbf638aea4ed1a78ce96610cd52,資訊管理學系博士班,7年級,,"0  ","4  ",0,全班成績已到鎖定排名,"0  ","4  ",,,成績全到,"0  ","4  ","0  ","4  ",,,1072,"4  ","4  ",85.87,全班成績已到鎖定排名,"4  ","4  ",,,成績全到,"4  ","4  ","4  ","4  ",,
96b2feeef4cc9386c4d64d4513d6cbebaed1119ad899c7ca5d4ec7f2f2ac9a58,機械工程學系光機電工程博士班,6年級,,"0  ","2  ",0,全班成績已到鎖定排名,"0  ","2  ",,,成績全到,"0  ","2  ","0  ","2  ",,,1072,"2  ","2  ",85.20,全班成績已到鎖定排名,"2  ","2  ",,,成績全到,"2  ","2  ","2  ","2  ",,
6a03b0dd127cb72d7991670713ffb6b3cd04937d5fe87cd231e267defce6ba41,機械工程學系碩士班,4年級,,"0  ","7  ",0,全班成績已到鎖定排名,"0  ","7  ",,,成績全到,"0  ","7  ","0  ","7  ",,,1072,"3  ","7  ",80.60,全班成績已到鎖定排名,"3  ","7  ",,,成績全到,"3  ","7  ","3  ","7  ",,
e9822fb8a08053578b036399c4bb13a650cf0c901b776dd579385a90c47c6321,環境工程研究所博士班,6年級,,"1  ","1  ",82.00,全班成績已到鎖定排名,"1  ","1  ",,,成績全到,"1  ","1  ","1  ","1  ",,,1072,"1  ","1  ",78.66,全班成績已到鎖定排名,"1  ","1  ",,,成績全到,"1  ","1  ","1  ","1  ",,
78e1610708b9156debff2353b68eb4b06ac7b9ba4d6025b736ee1fa5372fef37,資訊工程學系博士班,5年級,,"2  ","9  ",0,全班成績已到鎖定排名,"2  ","9  ",,,成績全到,"2  ","9  ","2  ","9  ",,,1072,"9  ","9  ",73.33,全班成績已到鎖定排名,"9  ","9  ",,,成績全到,"9  ","9  ","9  ","9  ",,
51e4c3fd97a998cc911d3a873c56ec0866369b77e0399874447e5c1880ac1343,生醫科學與工程學系系統生物與生物資訊博士班,7年級,,"0  ","3  ",0,全班成績已到鎖定排名,"0  ","3  ",,,成績全到,"0  ","3  ","0  ","3  ",,,1072,"2  ","3  ",87.76,全班成績已到鎖定排名,"2  ","3  ",,,成績全到,"2  ","3  ","2  ","3  ",,
b62466ab9bd6bfe02b48e45a4a9550cdf35952b7f554d0653bcc3d044bb5f21b,生命科學系,4年級,,"29 ","48 ",80.64,全班成績已到鎖定排名,"29 ","48 ",,,成績全到,"29 ","48 ","29 ","48 ",,,1072,"18 ","48 ",78.10,全班成績已到鎖定排名,"18 ","48 ",,,成績全到,"18 ","48 ","18 ","48 ",,
cb6e3b3fa2fbaca90e4a09c80f5b57acf062ab33e9d6277d192c23d0013047be,哲學研究所碩士班,4年級,,"1  ","3  ",92.00,全班成績已到鎖定排名,"1  ","3  ",,,成績全到,"1  ","3  ","1  ","3  ",,,1072,"3  ","3  ",82.30,全班成績已到鎖定排名,"3  ","3  ",,,成績全到,"3  ","3  ","3  ","3  ",,
