學號,系所名稱,年級班別,組別,學期-班一般名次,學期-班一般人數,學期-平均成績,學期-鎖定排名,學期-系一般名次,學期-系一般人數,學期-組一般名次,學期-組一般人數,學期-成績是否全到,學期-班名次,學期-班人數,學期-系名次,學期-系人數,學期-組名次,學期-組人數,學年學期,累計-班一般名次,累計-班一般人數,累計-平均成績,累計-鎖定排名,累計-系一般名次,累計-系一般人數,累計-組一般名次,累計-組一般人數,累計-成績是否全到,累計-班名次,累計-班人數,累計-系名次,累計-系人數,累計-組名次,累計-組人數
bf9a403ee91017d1c58dc3ec3d592bbc3f5a4ecea7f36216548750e3ebd73bf0,【舊代碼】生命科學系碩士班,2年級,,"18 ","22 ",86.57,全班成績已到鎖定排名,"18 ","22 ",,,成績全到,"18 ","22 ","18 ","22 ",,,1021,"10 ","22 ",86.17,全班成績已到鎖定排名,"10 ","22 ",,,成績全到,"10 ","22 ","10 ","22 ",,
7dd837e57403800aaa156a37faa9b8bb9792eeccda947c3c4054e0dc72a01ffd,【舊代碼】生命科學系碩士班,1年級,,"8  ","25 ",83.85,全班成績已到鎖定排名,"8  ","25 ",,,成績全到,"8  ","25 ","8  ","25 ",,,1021,"8  ","25 ",83.85,全班成績已到鎖定排名,"8  ","25 ",,,成績全到,"8  ","25 ","8  ","25 ",,
13b76e0517034f9245236f23e743f42a72ffe037512479e56cd9fa1e57505e3f,電機工程學系碩士班,2年級,,"10 ",105,89.50,全班成績已到鎖定排名,"10 ",105,,,成績全到,"10 ",105,"10 ",105,,,1021,"9  ",105,89.00,全班成績已到鎖定排名,"9  ",105,,,成績全到,"9  ",105,"9  ",105,,
4fd36d1ba7f3ac5217da668b667baac17f9b75f07b2f52d2e65760fbba7730f4,化學學系碩士班,1年級,,"57 ","60 ",74.21,全班成績已到鎖定排名,"57 ","60 ",,,成績全到,"57 ","60 ","57 ","60 ",,,1021,"57 ","60 ",74.21,全班成績已到鎖定排名,"57 ","60 ",,,成績全到,"57 ","60 ","57 ","60 ",,
42a453fca30ef649edaf9b05b1354dad966845375ed851f624aa7481509776ad,化學學系碩士班,1年級,,"36 ","60 ",80.62,全班成績已到鎖定排名,"36 ","60 ",,,成績全到,"36 ","60 ","36 ","60 ",,,1021,"36 ","60 ",80.62,全班成績已到鎖定排名,"36 ","60 ",,,成績全到,"36 ","60 ","36 ","60 ",,
71792a539c00028886a23d179f8891df25c8f2e17f0262410d6de7257d1347af,化學學系碩士班,1年級,,"8  ","60 ",86.18,全班成績已到鎖定排名,"8  ","60 ",,,成績全到,"8  ","60 ","8  ","60 ",,,1021,"8  ","60 ",86.18,全班成績已到鎖定排名,"8  ","60 ",,,成績全到,"8  ","60 ","8  ","60 ",,
0176d7c73898866aaa24051da431e11e5553725cd0352354cc60fbb3b914a3e1,化學學系碩士班,1年級,,"60 ","60 ",70.40,全班成績已到鎖定排名,"60 ","60 ",,,成績全到,"60 ","60 ","60 ","60 ",,,1021,"60 ","60 ",70.40,全班成績已到鎖定排名,"60 ","60 ",,,成績全到,"60 ","60 ","60 ","60 ",,
363f5810f9ec06de719aeeee02fd6e35a35880bc991fd625f4174c5f21977416,學習與教學研究所碩士班,2年級,,"6  ","8  ",91.00,全班成績已到鎖定排名,"6  ","8  ",,,成績全到,"6  ","8  ","6  ","8  ",,,1021,"6  ","8  ",89.00,全班成績已到鎖定排名,"6  ","8  ",,,成績全到,"6  ","8  ","6  ","8  ",,
e5a821463ac9ea51d31f35debcf3c8b42272a49483e4649e897a56b23e845438,材料科學與工程研究所碩士班,1年級,,"19 ","22 ",80.60,全班成績已到鎖定排名,"19 ","22 ",,,成績全到,"19 ","22 ","19 ","22 ",,,1021,"20 ","22 ",80.60,全班成績已到鎖定排名,"20 ","22 ",,,成績全到,"20 ","22 ","20 ","22 ",,
d0148a3334c1d03f4a1b4a69e9e6f54a38c76567b2b0dae946752dc8b3378eae,材料科學與工程研究所碩士班,1年級,,"6  ","22 ",89.50,全班成績已到鎖定排名,"6  ","22 ",,,成績全到,"6  ","22 ","6  ","22 ",,,1021,"6  ","22 ",89.50,全班成績已到鎖定排名,"6  ","22 ",,,成績全到,"6  ","22 ","6  ","22 ",,
